rows,Rank9,Rank8,Rank7,Rank6,Rank5,Rank4,Rank3,Rank2,Rank1
Communication frameworks,1,30,72,73,114,122,112,99,93
Online continuing education program,1,1,15,42,67,99,131,158,202
In-person regional workshop,1,50,75,120,87,84,114,85,100
E-game based learning,7,219,158,109,84,62,23,38,16
"Promotional materials (e.g. vignettes, posters) for display in work-place",1,58,78,110,135,75,88,71,100
Education resources for the health care professional,0,31,65,103,88,121,114,113,81
Additional training on vaccine hesitancy incorporated into existing programs,1,65,118,79,81,92,98,100,82
Simulation based training,7,255,132,80,59,60,36,50,37
Others,697,7,3,0,1,1,0,2,5
,,,,,,,,,
"
",,,,,,,,,
